gene_ID	segment_number	seed	N_CG	L_locus	CG_density	Col0_meth_frac	CG_spacing	mean_h2az	max_h2az	locus_gain_rate_mu	locus_gain_rate_sigma	locus_loss_rate_mu	locus_loss_rate_sigma
AT2G43230	5873	23491	55	2345	0.02302771855010661	0.1111111111111111	43.42592592592593	2.76162445598841	7.23699812889099	1.1488970588235294e-05	8.72051229401518e-06	0.00015318627450980392	2.0424836601307185e-05
AT2G43235	5874	23495	63	1866	0.03322615219721329	0.09523809523809523	30.096774193548388	1.7277806860479399	6.09008002281189	5.733287467033597e-06	4.0540464464313005e-06	0.0	0.0
AT2G43240	5875	23499	95	5031	0.01868415821904194	0.17894736842105263	53.52127659574468	1.27411825388086	7.85432605743408	1.8329981565275683e-06	2.1593271459787478e-06	7.208765859284889e-05	2.8835063437139562e-05
AT2G43250	5876	23503	59	2477	0.023415421881308032	0.29310344827586204	42.70689655172414	1.6764563571588702	4.71274604797363	3.487167224613423e-06	4.107988228935179e-06	0.0	0.0
AT2G43260	5877	23507	54	1587	0.03339634530560807	0.03773584905660377	29.943396226415093	2.24973646420985	7.00214800834656	1.2014609765474818e-06	2.4029219530949636e-06	0.0002553104575163399	0.0001646702971466207
AT2G43270	5878	23511	43	1211	0.03468208092485549	0.05128205128205128	28.833333333333336	5.012169505048679	12.944059753418	0.0	0.0	7.148692810457515e-05	8.421375869317117e-05
AT2G43330	5880	23519	80	3300	0.02393939393939394	0.2911392405063291	41.77215189873417	1.7349950064411899	4.70711197853088	2.5531045751633985e-06	3.007634239041827e-06	5.949843705598181e-05	1.8199330004901247e-05
AT2G43350	5881	23523	30	1764	0.016439909297052153	0.06666666666666667	60.827586206896555	2.0288115875665502	6.52229390144348	2.7719421101774043e-05	8.753501400560225e-06	0.0	0.0
AT2G43360	5882	23527	47	2562	0.01795472287275566	0.0425531914893617	55.69565217391305	3.05172965870454	6.5970858097076395	1.134713144517066e-05	7.318679873183143e-06	0.0	0.0
AT2G43400	5884	23535	78	4073	0.018904984041247238	0.1794871794871795	52.896103896103895	1.8353479790545602	10.7635797023773	1.914828431372549e-05	7.659313725490194e-06	0.0	0.0
AT2G43410	5885	23539	159	5999	0.026337722953825637	0.21518987341772153	37.96835443037975	1.707474504741	19.5190397262573	6.42394054395952e-06	1.8924476355082583e-06	2.102556708958093e-05	6.007304882737409e-06
AT2G43420	5886	23543	96	3788	0.0250791974656811	0.15789473684210525	39.873684210526314	0.965112095897074	2.96870999336243	7.404003267973856e-06	5.232307376409109e-06	1.7701525054466233e-05	1.3616557734204791e-05
AT2G43430	5887	23547	56	2653	0.020731247644176404	0.2727272727272727	48.236363636363635	1.4038105351726202	3.2767800092697104	1.3276143790849673e-05	1.0212418300653596e-05	5.174291938997821e-05	1.633986928104575e-05
AT2G43465	5889	23555	41	2025	0.019753086419753086	0.07692307692307693	50.625	2.17517298589582	5.022586059570309	0.0	0.0	0.0	0.0
AT2G43490	5891	23563	96	4361	0.021783994496675074	0.425531914893617	45.90526315789474	0.825454778629153	4.485336017608639	1.475127087872186e-05	4.345620496352297e-06	7.506127450980392e-05	1.7599763010226807e-05
AT2G43500	5892	23567	113	4891	0.022899202617051726	0.2	43.66964285714286	1.5091486174762199	4.4390260219574005	1.6014928698752228e-05	4.756643069462826e-06	6.127450980392157e-05	2.1333046073002188e-05
AT2G43560	5893	23571	30	1617	0.017934446505875078	0.0	55.758620689655174	3.38021457412026	8.41474800109863	0.0	0.0	nan	nan
AT2G43630	5895	23579	50	1786	0.027435610302351622	0.08	36.44897959183674	1.54976753592491	3.7263579368591295	1.3320545609548167e-06	2.6641091219096333e-06	0.0	0.0
AT2G43640	5896	23583	34	1687	0.01956135151155898	0.11764705882352941	51.121212121212125	1.62849926973383	5.90120806694031	0.0	0.0	0.00014297385620915033	7.075370945951295e-05
AT2G43650	5897	23587	86	4141	0.02052644288819126	0.16470588235294117	48.71764705882353	1.46353805291302	4.82756605148315	2.1575531621099145e-05	1.3915799758869356e-05	4.668534080298786e-05	1.6505760531898867e-05
AT2G43680	5898	23591	55	3630	0.01487603305785124	0.21818181818181817	67.22222222222223	1.70779663681984	5.82787795066834	1.852485180118559e-05	1.4249886000911993e-05	0.0	0.0
AT2G43690	5899	23595	86	2660	0.03195488721804511	0.023255813953488372	31.294117647058826	5.62088308250695	24.3980199813843	0.0	0.0	0.0	0.0
AT2G43700	5900	23599	113	3699	0.03027845363611787	0.08928571428571429	33.026785714285715	5.35149948008649	19.122360229492198	2.00243496091247e-06	2.4029219530949636e-06	1.4297385620915032e-05	1.6842751738634235e-05
AT2G43710	5901	23603	61	2921	0.020540910647038686	0.23728813559322035	48.68333333333333	1.61098310439313	3.34981002807617	1.270878721859114e-05	6.289218618623375e-06	4.376750700280112e-06	8.753501400560223e-06
AT2G43760	5903	23611	28	1218	0.022167487684729065	0.08695652173913043	45.11111111111111	2.76980815620133	5.0785719871521	0.0	0.0	3.0637254901960784e-05	6.127450980392157e-05
AT2G43770	5904	23615	45	1866	0.023579849946409433	0.2222222222222222	42.40909090909091	2.46115318667144	12.3773140907288	2.2175536881419236e-05	7.0028011204481795e-06	0.0	0.0
AT2G43790	5905	23619	80	2609	0.03027980068991951	0.16455696202531644	33.0253164556962	0.90534097262259	2.34150199890137	2.0734303822539117e-05	6.342190759283767e-06	2.042483660130719e-05	1.57114127702363e-05
AT2G43800	5906	23623	157	3501	0.044558697514995714	0.033112582781456956	22.442307692307693	3.7421939742233996	16.7428559303284	3.917091950935625e-06	1.938457793411314e-06	0.0	0.0
AT2G43810	5907	23627	38	2052	0.018031189083820662	0.05263157894736842	55.45945945945946	2.37630923085434	5.4886679649353	0.0	0.0	0.0	0.0
AT2G43850	5908	23631	90	2963	0.030037124535943302	0.07865168539325842	33.29213483146067	1.8218026713978899	6.679752063751219	1.7435836123067115e-06	2.0539941144675895e-06	5.543884220354808e-05	4.4058324202093534e-05
AT2G43880	5909	23635	56	1794	0.030657748049052396	0.07407407407407407	32.61818181818182	3.1624044590874703	11.337630081176801	5.31045751633987e-06	4.084967320261438e-06	0.0	0.0
AT2G43890	5910	23639	86	2167	0.03922473465620674	0.07228915662650602	25.49411764705882	6.65065118571122	20.8020980834961	6.631440454969868e-06	4.277150575236902e-06	0.0	0.0
AT2G43900	5911	23643	163	5434	0.02981229297018771	0.40993788819875776	33.54320987654321	2.1079600074001297	17.8753900051117	1.2684898520811832e-05	8.524349673890182e-06	1.949643493761141e-05	7.029743941622442e-06
AT2G43940	5912	23647	37	1966	0.018311291963377416	0.13513513513513514	54.61111111111111	4.35428630342317	23.302779769897498	1.914828431372549e-06	3.829656862745098e-06	2.8594771241830065e-05	3.368550347726847e-05
AT2G43945	5913	23651	45	2372	0.01854974704890388	0.13636363636363635	53.90909090909091	1.60772549752146	6.660014081001281	0.0	0.0	8.510348583877996e-05	5.4890099048873566e-05
AT2G43970	5915	23659	66	2882	0.02255378209576683	0.18181818181818182	44.33846153846154	1.26965281567613	4.81911602020264	4.9170902929072865e-06	3.78237714839022e-06	0.0	0.0
AT2G43980	5916	23663	66	3330	0.01951951951951952	0.2923076923076923	51.230769230769226	1.81619165671222	13.0474760532379	2.9305200341005966e-05	1.0202761165348871e-05	7.524939800481596e-06	8.864606178228544e-06
AT2G43990	5917	23667	47	2281	0.020166593599298552	0.10869565217391304	49.58695652173913	2.66808213058938	6.66291606426239	1.4945002391200383e-06	2.9890004782400766e-06	4.084967320261438e-05	4.901960784313725e-05
AT2G44000	5918	23671	23	1378	0.015965166908563134	0.18181818181818182	62.63636363636364	2.37701614825956	3.7242859363555896	0.0	0.0	0.00010212418300653594	7.075370945951295e-05
AT2G44020	5919	23675	51	1783	0.028042624789680313	0.08163265306122448	35.660000000000004	2.0011105675522898	4.0829899787902795	0.0	0.0	0.00014297385620915033	7.075370945951295e-05
AT2G44040	5920	23679	61	2166	0.027700831024930747	0.19672131147540983	36.1	2.65959808545954	10.765033912658698	1.3338668800853674e-05	4.715931580542534e-06	4.255174291938998e-05	2.7445049524436783e-05
AT2G44060	5921	23683	56	1982	0.027749747729566093	0.07272727272727272	36.03636363636364	2.15736339867115	4.01824769973755	4.00486992182494e-06	4.805843906189927e-06	0.00027573529411764705	6.127450980392157e-05
AT2G44065	5922	23687	58	2965	0.019224283305227657	0.20689655172413793	52.017543859649116	1.85901216688703	3.93163998126984	2.0868854788292127e-05	5.1013805826744365e-06	6.467864923747276e-05	2.0424836601307185e-05
AT2G44070	5923	23691	34	1634	0.020195838433292534	0.0	49.515151515151516	2.49676462956837	3.30536203384399	0.0	0.0	nan	nan
AT2G44090	5924	23695	57	2641	0.021204089360090876	0.5087719298245614	47.160714285714285	1.4445819325279399	3.9369959831237797	0.0	0.0	0.0	0.0
AT2G44100	5925	23699	64	3510	0.017948717948717947	0.15625	55.714285714285715	1.147431890087	3.82775602340698	1.1347131445170661e-06	2.2694262890341322e-06	0.00016748366013071895	8.684759650927e-05
AT2G44110	5926	23703	73	3060	0.023529411764705882	0.0273972602739726	42.5	2.70964708479624	8.84182813167572	4.602780079167817e-06	3.254657006289918e-06	0.0	0.0
AT2G44120	5927	23707	52	2309	0.02208748375920312	0.07692307692307693	45.27450980392157	2.62726627638999	7.6640819549560595	0.0	0.0	0.0	0.0
AT2G44140	5928	23711	195	4717	0.041127835488658046	0.061855670103092786	24.314432989690722	2.67655715899369	16.009380149841302	2.9178338001867416e-06	2.2444875386051857e-06	1.702069716775599e-05	2.0424836601307188e-05
AT2G44150	5929	23715	61	2964	0.020242914979757085	0.11666666666666667	49.4	1.73274657080571	4.27261199951172	0.0	0.0	0.0	0.0
AT2G44160	5930	23719	59	2953	0.019641043007111413	0.21428571428571427	50.91379310344828	2.67787630148232	6.71256394386292	0.0	0.0	2.3828976034858387e-05	2.8071252897723724e-05
AT2G44200	5931	23723	73	2422	0.02972749793559042	0.136986301369863	33.63888888888889	2.3670454926490803	12.1548860549927	1.977642909015458e-05	3.242037555763045e-06	6.1274509803921575e-06	1.2254901960784315e-05
AT2G44230	5933	23731	80	2212	0.03571428571428571	0.02531645569620253	28.0	3.18414887889572	6.0828999519348095	0.0	0.0	7.148692810457515e-05	8.421375869317117e-05
AT2G44255	5934	23735	66	1806	0.03599114064230343	0.21875	27.784615384615385	1.92506368978079	6.43617205619812	1.7156862745098042e-05	4.901960784313726e-06	5.689775910364146e-05	3.8819253897204925e-05
AT2G44260	5935	23739	64	1647	0.03825136612021858	0.22580645161290322	26.142857142857142	1.92551439702511	6.43617205619812	2.0424836601307188e-05	0.0	1.4589169000933706e-05	1.7507002801120444e-05
AT2G44270	5936	23743	53	2250	0.02311111111111111	0.23076923076923078	43.269230769230774	2.48798715770245	10.4904760360718	9.701797385620915e-06	7.710206735366369e-06	1.1914488017429193e-05	1.4035626448861862e-05
AT2G44280	5937	23747	68	3280	0.020426829268292684	0.07352941176470588	48.95522388059701	1.71459928163584	4.70926599502563	4.21464882249196e-06	3.242037555763046e-06	0.00020424836601307193	0.00013173623771729659
AT2G44350	5938	23751	82	4441	0.018239135329880658	0.16049382716049382	54.82716049382716	1.20620288229906	5.64520406723022	0.0	0.0	5.498994469582705e-05	1.57114127702363e-05
AT2G44410	5939	23755	58	1998	0.028528528528528527	0.20689655172413793	35.05263157894737	1.91472941317209	4.854714155197139	2.1312872975277067e-05	0.0	2.212690631808279e-05	1.702069716775599e-05
AT2G44420	5940	23759	50	2454	0.019967400162999183	0.1	50.08163265306123	1.86968917446394	8.5678521156311	5.900508351488745e-06	4.5388525780682645e-06	0.0	0.0
AT2G44430	5941	23763	128	2720	0.046691176470588236	0.06299212598425197	21.41732283464567	2.099793544511	6.6194180727005	1.2014609765474816e-06	1.41535728896086e-06	0.0	0.0
AT2G44440	5942	23767	68	2786	0.02404881550610194	0.2537313432835821	41.582089552238806	2.1126233455436	8.00121603012085	1.1437908496732026e-05	5.660296756761037e-06	0.0	0.0
AT2G44510	5943	23771	44	2189	0.01964367291000457	0.09523809523809523	50.906976744186046	1.8498916215366799	4.476804113388059	3.762469900240798e-06	4.432303089114272e-06	3.574346405228758e-05	4.2106879346585585e-05
AT2G44520	5944	23775	62	2265	0.026931567328918323	0.14516129032258066	37.131147540983605	1.9570009348343798	6.28188412189484	5.009865581452707e-06	3.85374275496362e-06	3.177196804647785e-05	3.7428337196964966e-05
AT2G44530	5945	23779	84	2644	0.031391830559757944	0.07142857142857142	31.855421686746986	2.75862369905819	18.9479082107544	0.0	0.0	0.0	0.0
AT2G44590	5947	23787	92	3325	0.02736842105263158	0.03260869565217391	36.53846153846154	3.11667494300534	5.58795691728592	0.0	0.0	4.7657952069716773e-05	5.614250579544745e-05
AT2G44610	5948	23791	85	2616	0.03211009174311927	0.09411764705882353	31.142857142857142	2.02280947766521	10.7754998207092	0.0	0.0	0.0	0.0
AT2G44640	5949	23795	55	2065	0.026150121065375304	0.14814814814814814	38.24074074074074	4.04008661427281	13.108856010437	1.4652600170502983e-05	1.0086154351023504e-05	0.0	0.0
AT2G44650	5950	23799	35	1572	0.021628498727735368	0.05714285714285714	46.23529411764706	2.85582162878093	4.57879400253296	0.0	0.0	0.0	0.0
AT2G44660	5951	23803	76	1988	0.03772635814889336	0.06578947368421052	26.506666666666668	5.0118739394153	24.5705641269684	0.0	0.0	0.00011437908496732027	5.660296756761038e-05
AT2G44710	5952	23807	109	4374	0.024691358024691357	0.35514018691588783	40.5	0.9151793242148729	6.32542209625244	8.288339490385527e-06	4.101664316493506e-06	3.9774681802545576e-05	1.0749914000687994e-05
AT2G44760	5953	23811	53	1961	0.026517083120856707	0.17647058823529413	37.71153846153846	1.9713806272972199	5.823140048980711	0.0	0.0	0.0	0.0
AT2G44770	5954	23815	70	3019	0.02285525008280888	0.1	43.7536231884058	1.36428647699856	4.3283200263977095	8.105093889407614e-06	5.227628480845101e-06	9.337068160597572e-05	3.3011521063797734e-05
AT2G44798	5955	23819	99	5209	0.01881359186024189	0.02040816326530612	53.1530612244898	1.83960607679117	6.9435939788818395	5.318967864923748e-06	3.430631190554598e-06	0.0	0.0
AT2G44800	5956	23823	26	1653	0.015124016938898971	0.08	66.12	1.16471371931689	2.90026607513428	1.243250923557829e-05	1.4645871077073248e-05	0.0	0.0
AT2G44820	5957	23827	43	1707	0.02460456942003515	0.13953488372093023	40.642857142857146	2.07292340671694	5.29822406768799	8.832361773538245e-06	6.245422903961734e-06	0.0	0.0
AT2G44830	5958	23831	108	3530	0.03031161473087819	0.42452830188679247	32.99065420560748	2.97752907690075	5.33818006515503	1.0045001607200257e-06	2.0090003214400514e-06	1.9970951343500363e-05	3.6310820624546125e-06
AT2G44860	5960	23839	31	1647	0.018214936247723135	0.06451612903225806	54.89999999999999	1.19485452150305	3.2918240070343	0.0	0.0	0.0002553104575163399	0.0001646702971466207
AT2G44880	5961	23843	82	3024	0.026785714285714284	0.2073170731707317	37.333333333333336	2.31489298604429	6.34480605125427	6.2845651080945196e-06	4.354074428277721e-06	1.2014609765474818e-05	1.4417531718569781e-05
AT2G44890	5962	23847	50	1938	0.025283797729618165	0.12244897959183673	39.55102040816326	3.17002315299456	5.295354032516481	0.0	0.0	1.0212418300653594e-05	2.0424836601307188e-05
AT2G44900	5963	23851	123	5046	0.024177566389219182	0.34710743801652894	41.36065573770492	1.19381100969532	4.528922080993651	1.835649871763051e-05	5.49668332337152e-06	3.355508870214752e-05	9.966299764588778e-06
AT2G44950	5964	23855	115	6444	0.017690875232774673	0.3652173913043478	56.526315789473685	0.83644349906622	4.47251009941101	1.678753693258125e-06	3.35750738651625e-06	1.6534391534391532e-05	1.3616557734204793e-05
AT2G44970	5965	23859	89	3295	0.026707132018209408	0.3595505617977528	37.44318181818182	1.17864034349349	5.60966796875	1.1108244467377595e-05	5.016626533654397e-06	5.8721405228758165e-05	2.2257449670857194e-05
AT2G44980	5966	23863	99	4376	0.022394881170018283	0.31313131313131315	44.6530612244898	1.74317155958532	6.25141797065735	1.7421184159938487e-05	3.604382929642447e-06	6.58865696816361e-06	7.906388361796332e-06
AT2G45000	5967	23867	122	3844	0.031477627471383975	0.09836065573770492	31.768595041322314	1.38282837774127	9.489874660968779	5.384729649435531e-06	3.805314455570261e-06	7.829520697167756e-05	5.4890099048873566e-05
AT2G45010	5968	23871	51	2001	0.02498750624687656	0.0	40.02	4.1836747753184	22.9867601394653	1.2014609765474818e-06	2.4029219530949636e-06	nan	nan
AT2G45023	5969	23875	48	1789	0.02627166014533259	0.0	38.06382978723404	1.88470348468641	4.1113920211792	0.0	0.0	nan	nan
AT2G45030	5970	23879	101	4589	0.021791239921551537	0.23232323232323232	45.89	0.9705064858511551	4.25963406562805	7.256191950464396e-06	5.507691975167483e-06	4.617789144643365e-05	1.8796187205630793e-05
AT2G45060	5971	23883	76	2577	0.02910360884749709	0.06578947368421052	34.36	1.8610509479383301	6.52000608444214	1.00685814231796e-05	2.8767375494798857e-06	1.2254901960784315e-05	2.450980392156863e-05
AT2G45070	5972	23887	39	1291	0.02943454686289698	0.0	33.973684210526315	1.4530325612117498	3.63770403862	0.0	0.0	nan	nan
AT2G45140	5973	23891	56	2462	0.022339561332250204	0.05454545454545454	44.763636363636365	2.07527061658246	10.9413219928741	9.819632981397688e-06	6.3334729671777205e-06	8.850762527233116e-05	6.808278867102396e-05
AT2G45150	5974	23895	60	2294	0.025719267654751524	0.05	38.88135593220339	2.1236398608684497	4.07817797660828	8.958261667239996e-06	5.777905163039322e-06	0.0	0.0
AT2G45200	5975	23899	56	2696	0.02040059347181009	0.07142857142857142	49.018181818181816	1.90148826705722	8.38742394447327	5.106209150326798e-06	3.927853192559075e-06	5.106209150326797e-05	6.127450980392157e-05
AT2G45270	5978	23911	91	3275	0.02748091603053435	0.27472527472527475	36.38888888888889	2.7182915304388304	12.240391826629601	1.9805902158843335e-05	7.0024438620177014e-06	3.8398692810457516e-05	2.7777777777777776e-05
AT2G45280	5979	23915	68	2446	0.02739165985282093	0.08823529411764706	36.507462686567166	3.5871523749828302	15.819023895263697	1.8118806662449926e-05	2.7165728610700374e-06	0.0	0.0
AT2G45300	5980	23919	126	4333	0.02884837295176552	0.07936507936507936	34.664	3.6166458391881204	17.6819402694702	6.162666215911652e-06	1.7607617759747578e-06	1.4297385620915032e-05	1.6842751738634235e-05
AT2G45320	5981	23923	54	2031	0.026095519448547513	0.037037037037037035	38.320754716981135	2.98225358362709	14.693476104736302	1.1783559577677225e-06	2.356711915535445e-06	0.0002553104575163399	0.0001646702971466207
AT2G45340	5982	23927	89	2852	0.030855539971949508	0.0	32.40909090909091	5.581723656810699	19.175659751892102	0.0	0.0	nan	nan
AT2G45350	5983	23931	64	1817	0.03467253714914695	0.109375	28.84126984126984	8.11373634087412	45.2138473510742	3.583304666895998e-06	4.299965600275198e-06	0.0	0.0
AT2G45440	5985	23939	59	2240	0.025892857142857145	0.35714285714285715	38.62068965517241	2.41934902382934	4.09765405654907	9.645061728395062e-06	1.1175628406177498e-05	1.3276143790849673e-05	1.0212418300653596e-05
AT2G45460	5986	23943	122	5049	0.023965141612200435	0.256198347107438	41.72727272727273	1.52474311633596	8.77659184932709	8.623819898329702e-06	2.723311546840959e-06	5.6662449926207044e-05	7.906388361796335e-06
AT2G45480	5987	23947	51	2228	0.02244165170556553	0.4	44.56	4.543829184892231	15.973359870910599	2.0424836601307187e-06	4.0849673202614375e-06	6.740196078431374e-05	2.346635068030241e-05
AT2G45490	5988	23951	39	1698	0.02237926972909305	0.15384615384615385	44.68421052631579	7.857878604616441	36.548005771637	0.0	0.0	0.0	0.0
AT2G45500	5989	23955	77	3439	0.022099447513812154	0.23684210526315788	45.25	1.8173949475649398	6.158404064178469	0.0	0.0	1.475127087872186e-05	1.134713144517066e-05
AT2G45510	5990	23959	49	2142	0.022408963585434174	0.1875	44.625	2.0623274571855	9.2628438949585	0.0	0.0	1.5885984023238924e-05	1.8714168598482483e-05
AT2G45540	5992	23967	324	15296	0.02111663179916318	0.54375	47.356037151702786	0.48861585404844105	3.67069001197815	3.203621631300922e-05	5.546665883695669e-06	1.3968710089399745e-05	3.261504580199132e-06
AT2G45550	5993	23971	79	2220	0.03513513513513514	0.04054054054054054	28.46153846153846	4.50846769913383	17.782834148406998	1.00685814231796e-05	2.8767375494798857e-06	0.0	0.0
AT2G45560	5994	23975	106	2523	0.041617122473246136	0.02	24.02857142857143	4.3955993120317105	12.936107921600302	0.0	0.0	0.0	0.0
AT2G45620	5995	23979	90	2898	0.030710835058661144	0.3	32.56179775280899	3.04160307025717	12.6187719345093	2.269426289034132e-06	2.6734526569260684e-06	5.2953280077463084e-06	6.23805619949416e-06
AT2G45670	5997	23987	84	3757	0.022092094756454617	0.2976190476190476	45.265060240963855	0.995042893787225	3.5871620178222696	1.3154979505926665e-05	4.1542040545031575e-06	7.271241830065359e-05	3.0699827170026036e-05
AT2G45690	5998	23991	54	2483	0.02134514699959726	0.2962962962962963	46.84905660377358	2.25328333231638	4.835473966598509	6.987444100447197e-06	5.374957000343997e-06	2.0424836601307188e-05	1.444254046541151e-05
AT2G45700	5999	23995	97	3649	0.026308577692518497	0.21649484536082475	38.01041666666667	1.27466183194989	4.67223806381226	3.4937220502235983e-06	2.6874785001719985e-06	9.531590413943355e-05	3.136577088507061e-05
AT2G45720	6000	23999	123	3185	0.038304552590266876	0.04878048780487805	26.10655737704918	3.53272416182418	10.9390100479126	1.134713144517066e-05	2.443997542036758e-06	0.0	0.0
AT2G45730	6001	24003	62	2984	0.02044235924932976	0.20967741935483872	48.91803278688525	1.71463819913945	5.6838259696960405	4.168334000266773e-06	5.002000800320128e-06	0.0	0.0
AT2G45790	6004	24015	47	2167	0.021227503461006	0.14893617021276595	47.108695652173914	2.4732279092073397	11.262641859054598	0.0	0.0	0.0	0.0
AT2G45810	6005	24019	70	3444	0.02003484320557491	0.02857142857142857	49.913043478260875	1.21837441274818	4.88969593048096	0.0	0.0	0.0002553104575163399	0.0001646702971466207
AT2G45880	6007	24027	122	4267	0.028357159596906493	0.21487603305785125	35.264462809917354	1.8963576840236798	5.662075996398929	4.9449604403164775e-06	3.466743097823594e-06	7.070135746606335e-05	9.426847662141777e-06
AT2G45910	6008	24031	110	4488	0.02428698752228164	0.47706422018348627	41.174311926605505	1.50163341767258	9.35731201171875	2.006650613461759e-05	9.930345187300064e-06	2.5531045751633988e-05	5.498994469582704e-06
AT2G45920	6009	24035	55	2605	0.02072936660268714	0.3148148148148148	48.24074074074074	1.54546157197519	4.20795001983643	1.5456633103691928e-05	7.649049671298698e-06	1.5618992695117262e-05	1.2014609765474818e-05
