chromosome	gene_start	gene_end	gene_ID	start	end	segment_no	mean_h2az	max_h2az
CHR1	270797	272189	AT1G01730	271623	271674	37	3.942023933	4.259221935
CHR1	272111	274930	AT1G01740	272481	272523	38	0.743626803	0.759283805
CHR1	272111	274930	AT1G01740	272799	272919	39	0.895481999	1.254008615
CHR1	275188	276310	AT1G01750	275989	277543	40	0.503048096	0.852751988
CHR1	275473	276319	AT1G04053	275989	277543	41	0.503048096	0.852751988
CHR1	276266	278599	AT1G01760	275989	277543	42	0.503048096	0.852751988
CHR1	276543	276729	AT1G04057	275989	277543	43	0.503048096	0.852751988
CHR1	278600	282891	AT1G01770	279923	282227	44	0.640509504	2.202551985
CHR1	284350	291203	AT1G01790	285396	285531	45	0.766575193	0.872508788
CHR1	284350	291203	AT1G01790	285832	285887	46	0.577982798	0.583201796
CHR1	284350	291203	AT1G01790	286989	287105	47	0.871974447	0.984773397
CHR1	284350	291203	AT1G01790	287793	290611	48	1.632008484	13.42554973
CHR1	296001	298334	AT1G01820	296324	296765	49	1.492488213	2.83092804
CHR1	304133	306310	AT1G01860	304688	304935	50	1.038868445	1.200366974
CHR1	306467	309541	AT1G01880	307047	307540	51	2.001770711	2.702209973
CHR1	306467	309541	AT1G01880	308021	308069	52	2.260792017	2.583872032
CHR1	306467	309541	AT1G01880	308297	308375	53	3.063703386	3.474078059
CHR1	313101	316090	AT1G01910	313905	314951	54	0.493703873	0.894187605
CHR1	315983	319667	AT1G01920	317295	318961	55	0.956143129	2.000614023
CHR1	319769	322895	AT1G01930	320189	321571	56	0.958131593	2.292627978
CHR1	322886	324917	AT1G01940	323981	324349	57	0.905609222	1.129041994
CHR1	325316	330619	AT1G01950	326263	328285	58	0.396206449	0.776558816
CHR1	325316	330619	AT1G01950	329343	330296	59	0.525070178	1.651261997
CHR1	330588	337912	AT1G01960	331044	336456	60	0.359847189	1.607449639
CHR1	330588	337912	AT1G01960	336875	336895	61	0.503997594	0.503997594
CHR1	338241	340088	AT1G01970	338931	339713	62	1.822461076	3.901280069
CHR1	347613	352545	AT1G02010	348965	348999	63	0.506573808	0.506573808
CHR1	347613	352545	AT1G02010	349583	351876	64	0.59025641	1.664133179
CHR1	359117	360746	AT1G02050	359363	360410	65	1.576929916	3.171986055
CHR1	360918	363142	AT1G02060	361295	361345	66	0.809389609	0.81460861
CHR1	360918	363142	AT1G02060	361683	361733	67	0.748925507	0.806707209
CHR1	373335	386913	AT1G02080	375497	383697	68	0.253522769	0.843737388
CHR1	373335	386913	AT1G02080	385288	386292	69	0.325470568	0.461538005
CHR1	387277	389808	AT1G02090	388291	388335	70	0.218941599	0.221116199
CHR1	389812	392816	AT1G02100	390789	392106	71	0.345402296	0.513946018
CHR1	392831	395528	AT1G02110	394029	395233	72	1.087018714	2.435321975
CHR1	395689	400001	AT1G02120	397007	397889	73	0.40582589	1.17197901
CHR1	395689	400001	AT1G02120	398507	398853	74	0.227478219	0.301527593
CHR1	404600	408619	AT1G02145	405915	408120	75	0.404344552	1.553518659
CHR1	411664	413554	AT1G02170	413055	413120	76	1.451956809	1.500458813
CHR1	428650	430720	AT1G02220	429029	429095	77	1.913052022	1.957532024
CHR1	440200	442972	AT1G02260	441165	441889	78	2.564562906	4.63545599
CHR1	443118	446296	AT1G02270	444552	445009	79	0.691446708	0.932168376
CHR1	448423	450426	AT1G02280	448423	449434	80	0.908816161	4.457022095
CHR1	450461	452743	AT1G02290	451191	451630	81	0.735006595	0.98456341
CHR1	455688	458164	AT1G02305	456859	457329	82	0.820049326	1.750100219
CHR1	461946	463618	AT1G02330	462127	462289	83	0.442089252	0.52263341
CHR1	490860	492979	AT1G02410	492299	492368	84	0.297399459	0.34842959
CHR1	493639	495158	AT1G02420	494285	495655	85	0.727132233	3.414957857
CHR1	494008	495548	AT1G04117	494285	495655	86	0.727132233	3.414957857
CHR1	495050	496332	AT1G02430	494285	495655	87	0.727132233	3.414957857
CHR1	518091	520495	AT1G02500	519177	519946	88	1.070114933	3.7013381
CHR1	523536	529069	AT1G02520	525030	526356	89	0.662710885	1.814784837
CHR1	523536	529069	AT1G02520	526625	526668	90	0.400651701	0.547964197
CHR1	523536	529069	AT1G02520	526876	526916	91	2.619557631	2.833909643
CHR1	523536	529069	AT1G02520	527330	528213	92	2.449003743	6.265693998
CHR1	529679	534677	AT1G02530	531017	531096	93	2.932564044	3.258114028
CHR1	529679	534677	AT1G02530	531483	532011	94	6.956396582	9.931493998
CHR1	529679	534677	AT1G02530	532205	532545	95	5.277116326	6.905089998
CHR1	529679	534677	AT1G02530	533543	533599	96	3.93712399	4.074289989
CHR1	537740	540127	AT1G02560	539451	540018	97	1.210370613	2.331148005
CHR1	571826	575085	AT1G02660	572393	573369	98	0.79516556	1.109241807
CHR1	575922	580532	AT1G02670	577345	578022	99	7.727514723	14.50166979
CHR1	575922	580532	AT1G02670	578872	579313	100	2.077099416	2.906274033
CHR1	584134	587327	AT1G02690	585261	586575	101	1.026608491	3.317918062
CHR1	599330	602199	AT1G02740	599872	600390	102	0.841507389	1.207327771
CHR1	602489	604387	AT1G02750	603949	604093	103	0.492136648	0.681352794
CHR1	625084	625608	AT1G02830	625409	625427	104	5.005622053	5.005622053
CHR1	626639	629993	AT1G02840	627419	629439	105	0.318048346	0.643676001
CHR1	637214	638681	AT1G02870	637453	637567	106	0.842093861	0.919412398
CHR1	642505	644903	AT1G02880	643465	643573	107	0.883003805	0.919536805
CHR1	645084	652001	AT1G02890	645733	650955	108	0.366402726	1.349192011
CHR1	655568	658216	AT1G02910	655779	657489	109	2.021184085	4.799137974
CHR1	662963	664290	AT1G02940	663234	663341	110	1.53745201	1.758128011
CHR1	666807	669919	AT1G02960	667269	668339	111	0.443264624	0.634276599
CHR1	666807	669919	AT1G02960	669145	669219	112	1.731791321	2.137711978
CHR1	673306	676419	AT1G02970	674591	675005	113	1.603801392	1.932260013
CHR1	677360	681378	AT1G02980	678280	678588	114	12.77566222	17.12885551
CHR1	681331	687385	AT1G02990	681685	686508	115	0.411230404	2.226769972
CHR1	687795	692660	AT1G03000	688429	691501	116	0.574055618	1.506625211
CHR1	693190	696504	AT1G03010	694647	695253	117	3.046247875	4.056894088
CHR1	701365	703929	AT1G03030	702424	703321	118	0.821831237	2.332306564
CHR1	703847	706689	AT1G03040	704875	705136	119	2.537693489	3.070030022
CHR1	712440	727553	AT1G03060	713039	726101	120	0.406173685	2.440749955
CHR1	731554	738306	AT1G03080	732523	732770	121	0.311768769	0.333435404
CHR1	731554	738306	AT1G03080	736021	736409	122	1.551697482	2.766065836
CHR1	739544	744184	AT1G03090	740710	741237	123	0.720593696	0.948862606
CHR1	739544	744184	AT1G03090	741817	743880	124	0.409929437	1.164415979
CHR1	742298	742522	AT1G04157	741817	743880	125	0.409929437	1.164415979
CHR1	743885	746701	AT1G03100	744585	745927	126	1.19977163	2.459250021
CHR1	749246	751976	AT1G03110	750161	751469	127	1.105635513	2.696477187
CHR1	754261	756303	AT1G03140	754763	754851	128	2.315366006	2.34145999
CHR1	761261	766194	AT1G03160	762833	766109	129	0.864983524	1.998873627
CHR1	773358	775362	AT1G03180	774295	774764	130	0.9815561	1.110892785
CHR1	775527	780062	AT1G03190	776519	779491	131	0.57489074	1.696169591
CHR1	782904	784346	AT1G03210	783627	783854	132	0.935606732	1.003040004
CHR1	793315	795403	AT1G03250	793738	793927	133	0.454625562	0.647126403
CHR1	795449	798491	AT1G03260	796328	797555	134	0.365924186	0.59198218
CHR1	799115	802625	AT1G03270	801178	801860	135	1.658695323	2.482791948
CHR1	802970	807066	AT1G03280	803703	806769	136	0.619106829	1.850603986
CHR1	807361	813216	AT1G03290	809499	810519	137	0.460980584	0.675080198
CHR1	807361	813216	AT1G03290	811309	811925	138	3.997507517	8.104213953
CHR1	811033	813086	AT1G03300	811309	811925	139	3.997507517	8.104213953
CHR1	813413	816812	AT1G03310	814139	815775	140	0.745981357	1.604135966
CHR1	813413	816812	AT1G03310	816382	816537	141	1.803446457	2.337419963
CHR1	816989	817767	AT1G03320	817051	817086	142	1.667725992	1.667725992
CHR1	822582	824410	AT1G03350	822980	823087	143	1.691361372	1.762145972
CHR1	824517	826399	AT1G03360	825568	826024	144	1.420387628	2.386235976
CHR1	826523	830393	AT1G03365	827257	829440	145	0.444665381	1.244439006
CHR1	830550	835411	AT1G03370	831857	832895	146	0.544860052	1.151076782
CHR1	830550	835411	AT1G03370	834401	834867	147	0.343804778	0.663966984
CHR1	835767	841373	AT1G03380	836656	837417	148	0.655592556	1.022923392
CHR1	835767	841373	AT1G03380	838363	840593	149	0.282991515	0.685095781
CHR1	854410	859701	AT1G03445	855380	855519	150	1.769524533	2.04090004
CHR1	854410	859701	AT1G03445	856273	856297	151	2.419621992	2.419621992
CHR1	860761	864372	AT1G03457	861293	862455	152	0.631205604	1.102947199
CHR1	865895	867733	AT1G03470	866609	866829	153	6.995361543	8.346035957
CHR1	868853	871308	AT1G03475	869335	869892	154	0.602322099	1.004034609
CHR1	873166	874476	AT1G03495	873687	873716	155	1.236100507	1.310163605
CHR1	876087	877556	AT1G03510	876301	876927	156	2.404535835	3.114797974
CHR1	877861	880259	AT1G03520	878002	878065	157	3.556745923	5.800905848
CHR1	877861	880259	AT1G03520	878287	879326	158	1.124497785	3.512379956
CHR1	880384	883599	AT1G03530	880772	882621	159	0.81407571	1.706997967
CHR1	883683	885611	AT1G03540	884837	885611	160	0.588919035	1.079330194
CHR1	885623	887956	AT1G03550	885623	886463	161	0.70122897	2.389550781
CHR1	885623	887956	AT1G03550	887013	887541	162	0.471527833	0.5740888
CHR1	885941	887972	AT1G03545	885623	886463	163	0.70122897	2.389550781
CHR1	885941	887972	AT1G03545	887013	887541	164	0.471527833	0.5740888
CHR1	890155	892492	AT1G03560	890699	891461	165	0.786188395	1.793036568
CHR1	894238	897718	AT1G03590	894801	894875	166	1.956175005	1.985998011
CHR1	900732	903070	AT1G03610	902536	902563	167	3.827939999	3.828561997
CHR1	904032	907643	AT1G03620	905305	905527	168	2.781837997	3.160389996
CHR1	910023	911292	AT1G03650	910331	910387	169	7.579882002	7.77704401
CHR1	918285	920592	AT1G03687	919065	920189	170	0.783259627	1.626586795
CHR1	933426	937152	AT1G03740	934652	935967	171	0.479122221	0.752272981
CHR1	937826	941162	AT1G03750	938805	940545	172	1.015858687	3.200978017
CHR1	941062	943377	AT1G03760	942149	942207	173	0.914464726	0.975104392
CHR1	944572	947682	AT1G03770	945785	947218	174	0.455863624	0.800340992
CHR1	961684	966790	AT1G03830	962226	966065	175	1.629496154	6.264800072
CHR1	979307	982002	AT1G03860	979688	981057	176	0.848409702	2.268396044
CHR1	991106	993126	AT1G03900	992420	992715	177	0.385477028	1.0188714
CHR1	993400	995989	AT1G03905	994537	994575	178	0.553709689	0.563650587
CHR1	993400	995989	AT1G03905	994805	994850	179	0.467969197	0.467969197
CHR1	993400	995989	AT1G03905	995339	995557	180	2.520613003	2.933703995
CHR1	996076	1000629	AT1G03910	996779	999729	181	0.334812997	1.002047014
CHR1	1004688	1008370	AT1G03930	1007109	1008007	182	0.543332395	1.137601995
CHR1	1009228	1011145	AT1G03940	1010580	1010699	183	2.006923023	2.209295815
CHR1	1013643	1017957	AT1G03960	1014995	1017231	184	0.373661192	1.187320006
CHR1	1019311	1022108	AT1G03980	1019915	1019969	185	0.370983192	0.395773393
CHR1	1030957	1036264	AT1G04010	1031819	1032421	186	0.821563388	1.543330812
CHR1	1030957	1036264	AT1G04010	1033745	1034445	187	0.378281345	0.668030608
CHR1	1036493	1040262	AT1G04020	1038237	1039061	188	3.532148261	6.902110195
CHR1	1040375	1042892	AT1G04030	1041674	1042227	189	1.789172423	2.524412012
CHR1	1045598	1049864	AT1G04050	1046023	1048492	190	1.446143527	3.208918023
CHR1	1051312	1056827	AT1G04080	1051947	1054180	191	0.557285458	3.177369976
CHR1	1051312	1056827	AT1G04080	1054913	1056515	192	0.30861232	0.534782612
CHR1	1057041	1059454	AT1G04090	1058438	1058464	193	2.532046962	2.639939976
CHR1	1061297	1063809	AT1G04110	1061759	1061816	194	5.919538999	6.09751997
CHR1	1064264	1071080	AT1G04120	1065624	1069548	195	0.376071384	1.170546401
CHR1	1073274	1075568	AT1G04130	1074463	1075069	196	0.668983321	0.987881398
CHR1	1075543	1080630	AT1G04140	1075815	1079779	197	0.653677673	2.363801146
CHR1	1086170	1096510	AT1G04160	1087504	1095295	198	0.378050768	1.204715627
CHR1	1096882	1099901	AT1G04170	1098025	1099355	199	0.723539132	2.505942547
CHR1	1106354	1108725	AT1G04190	1106581	1106895	200	1.476382665	2.032092023
CHR1	1109395	1114155	AT1G04200	1110360	1113613	201	0.538923412	1.070267606
CHR1	1114375	1119739	AT1G04210	1115412	1119159	202	0.417040792	2.013287401
CHR1	1125515	1128788	AT1G04230	1126265	1127339	203	0.649491523	1.204096383
CHR1	1148564	1154667	AT1G04300	1149089	1153753	204	0.830810541	4.477780008
CHR1	1154740	1157813	AT1G04310	1155551	1156057	205	2.395081652	4.086879969
CHR1	1162905	1164861	AT1G04340	1163427	1164203	206	0.825515104	1.647710395
CHR1	1176544	1178488	AT1G04380	1177897	1178269	207	3.651147072	5.417029953
CHR1	1179310	1183704	AT1G04390	1179653	1182727	208	0.469494872	1.140349603
CHR1	1185512	1188696	AT1G04400	1185849	1187556	209	1.016957207	1.971618199
CHR1	1188995	1191458	AT1G04410	1189548	1190343	210	0.812076862	1.078592795
CHR1	1191519	1193884	AT1G04420	1192695	1193257	211	2.073188342	2.769543934
CHR1	1197956	1201579	AT1G04430	1199213	1200524	212	2.407964532	8.332676101
CHR1	1202160	1206009	AT1G04440	1203850	1205218	213	0.913678853	4.383956003
CHR1	1210924	1214841	AT1G04470	1211850	1211917	214	1.267119471	1.484396815
CHR1	1210924	1214841	AT1G04470	1212745	1212797	215	7.673134995	8.123460007
CHR1	1210924	1214841	AT1G04470	1214003	1214141	216	0.871393728	1.189608383
CHR1	1221411	1224539	AT1G04500	1223107	1223213	217	2.876025359	3.071670008
CHR1	1226483	1230947	AT1G04510	1227575	1230129	218	0.461855699	2.13543601
CHR1	1252005	1257893	AT1G04580	1253524	1253608	219	2.37517399	2.497280002
CHR1	1258556	1261470	AT1G04590	1258803	1259554	220	1.285262868	1.811306
CHR1	1261762	1272588	AT1G04600	1263237	1263355	221	4.069321537	5.4419981
CHR1	1261762	1272588	AT1G04600	1263997	1264774	222	2.33797095	3.139221954
CHR1	1261762	1272588	AT1G04600	1266755	1267787	223	2.202906135	4.044716072
CHR1	1261762	1272588	AT1G04600	1270487	1270559	224	2.052498015	2.106650019
CHR1	1282163	1286619	AT1G04620	1283057	1284981	225	0.562089673	0.948116398
CHR1	1294627	1299023	AT1G04650	1295135	1295706	226	5.378982748	8.865849876
CHR1	1294627	1299023	AT1G04650	1297863	1297895	227	1.260387599	1.260387599
CHR1	1303467	1307973	AT1G04680	1304947	1304958	228	3.915107965	4.751013947
CHR1	1316139	1321000	AT1G04700	1317085	1320427	229	1.682461327	5.705369997
CHR1	1321885	1324840	AT1G04710	1323605	1324509	230	3.879410779	11.95445576
CHR1	1325099	1331169	AT1G04730	1325365	1325387	231	3.323749971	3.323749971
CHR1	1325099	1331169	AT1G04730	1325810	1329643	232	1.716656912	4.715234137
CHR1	1331466	1333651	AT1G04750	1332060	1332171	233	0.62926013	1.02068359
CHR1	1340553	1343793	AT1G04780	1341479	1342219	234	0.930584266	1.578124213
CHR1	1344989	1348868	AT1G04790	1345319	1347763	235	0.845191128	4.510694075
CHR1	1348452	1349478	AT1G04800	1349063	1349144	236	0.840973699	1.0200984
CHR1	1350080	1355466	AT1G04810	1351337	1355225	237	0.482670355	1.725746012
CHR1	1356084	1358547	AT1G04820	1356897	1357191	238	3.201585238	3.82035594
CHR1	1358574	1362019	AT1G04830	1359305	1360885	239	0.632628911	1.90493058
CHR1	1365107	1368940	AT1G04850	1366014	1368037	240	0.40220516	1.103313613
CHR1	1369036	1373103	AT1G04860	1369389	1372330	241	0.696845306	1.646882808
CHR1	1373234	1375821	AT1G04870	1373583	1373618	242	1.822506022	1.877596021
CHR1	1373234	1375821	AT1G04870	1373891	1374168	243	1.156979822	2.878832376
CHR1	1375824	1379228	AT1G04880	1376664	1376748	244	8.262715054	10.13241396
CHR1	1375824	1379228	AT1G04880	1376839	1376877	245	14.96096711	15.02210412
CHR1	1383841	1387895	AT1G04900	1384575	1387381	246	2.42483016	5.323368025
CHR1	1385478	1386132	AT1G04297	1384575	1387381	247	2.42483016	5.323368025
CHR1	1387871	1391381	AT1G04910	1388281	1390500	248	0.70570824	3.96700995
CHR1	1391434	1395953	AT1G04920	1392404	1392535	249	16.37748385	20.92047977
CHR1	1391434	1395953	AT1G04920	1392950	1393021	250	0.562188137	0.642487812
CHR1	1391434	1395953	AT1G04920	1393805	1393883	251	1.561895001	1.632205987
CHR1	1391434	1395953	AT1G04920	1394555	1394624	252	2.222075391	2.476406384
CHR1	1396265	1399122	AT1G04930	1396801	1397553	253	0.524715134	0.840257597
CHR1	1399174	1403112	AT1G04945	1400084	1400179	254	4.830328163	5.031338167
CHR1	1399174	1403112	AT1G04945	1402181	1402535	255	0.545065103	0.716293928
CHR1	1399182	1400830	AT1G04940	1400084	1400179	256	4.830328163	5.031338167
CHR1	1403085	1407531	AT1G04950	1403821	1406749	257	0.330839459	0.993602991
CHR1	1407772	1410933	AT1G04960	1408252	1409905	258	0.415819708	0.999626625
CHR1	1411088	1413627	AT1G04970	1412531	1413191	259	0.335348297	0.664551795
CHR1	1416342	1419027	AT1G04985	1416733	1417453	260	1.064296682	2.429960346
CHR1	1418612	1421863	AT1G04990	1420422	1420479	261	0.789506149	0.87170521
CHR1	1435155	1437763	AT1G05020	1435700	1435903	262	1.435222475	1.998756349
CHR1	1438048	1441933	AT1G05030	1439227	1440031	263	0.311736524	0.457033804
CHR1	1448631	1450901	AT1G05055	1449219	1449919	264	1.534815988	3.18010397
CHR1	1451002	1452872	AT1G05060	1451623	1452473	265	2.299637955	6.516420031
CHR1	1457007	1458802	AT1G05070	1457263	1457529	266	1.040236128	1.494869399
CHR1	1463108	1464173	AT1G05087	1464027	1464173	267	1.129428534	1.562218606
CHR1	1464239	1465875	AT1G05090	1464239	1465476	268	0.797346014	0.797346014
CHR1	1471323	1476289	AT1G05120	1472723	1474075	269	0.441873375	0.932708204
CHR1	1471323	1476289	AT1G05120	1474707	1475349	270	1.460241055	2.137919998
CHR1	1484067	1487027	AT1G05150	1484781	1485857	271	1.405583337	3.057557964
CHR1	1487378	1491005	AT1G05160	1487665	1489475	272	0.618006717	1.097012413
CHR1	1498114	1501953	AT1G05180	1499266	1500976	273	0.370579015	0.7305314
CHR1	1504941	1509152	AT1G05200	1506327	1508924	274	1.066295593	3.048836017
CHR1	1512618	1514562	AT1G04353	1513844	1514419	275	1.647773223	3.129338026
CHR1	1512896	1518900	AT1G05230	1513844	1514419	276	1.647773223	3.129338026
CHR1	1531641	1534767	AT1G05270	1532551	1533581	277	0.456744242	0.663624799
CHR1	1553568	1557848	AT1G05320	1555536	1556148	278	1.110060325	1.272530174
CHR1	1560678	1564409	AT1G05350	1563149	1563187	279	0.618391106	0.660596806
CHR1	1564491	1567508	AT1G05360	1565823	1566963	280	0.701148532	0.949961996
CHR1	1576822	1582672	AT1G05380	1577861	1582009	281	0.314444934	0.708675402
CHR1	1585371	1587794	AT1G05410	1585665	1587043	282	0.889582416	1.732971978
CHR1	1594053	1595923	AT1G05430	1594695	1594716	283	1.476975584	1.546562588
CHR1	1596007	1597940	AT1G05440	1596467	1596489	284	9.993375921	9.993375921
CHR1	1601148	1605034	AT1G05460	1601529	1604077	285	0.953158628	1.916127992
CHR1	1607202	1611840	AT1G05470	1608603	1610285	286	2.63725888	6.36156013
CHR1	1618504	1623489	AT1G05490	1620197	1622193	287	3.483020395	5.51524415
CHR1	1624919	1629289	AT1G05500	1626045	1627359	288	0.352078704	0.621059996
CHR1	1624919	1629289	AT1G05500	1628907	1628937	289	0.603663194	0.603663194
CHR1	1630849	1636018	AT1G05520	1631365	1634548	290	0.368273077	0.676977611
CHR1	1647575	1659611	AT1G05570	1648713	1652022	291	0.53295604	1.699008608
CHR1	1647575	1659611	AT1G05570	1653479	1656829	292	0.451744928	1.102946401
CHR1	1647575	1659611	AT1G05570	1658017	1658667	293	2.407689123	4.175190067
CHR1	1669350	1671902	AT1G05590	1670378	1670675	294	2.994234616	4.406498075
CHR1	1671916	1673923	AT1G05600	1672827	1673623	295	0.778291152	1.027765608
CHR1	1673861	1676077	AT1G05610	1675230	1675265	296	1.938388002	1.943206
CHR1	1678881	1681710	AT1G05620	1679797	1679987	297	1.094150088	1.894407773
CHR1	1678881	1681710	AT1G05620	1680807	1681067	298	0.676029998	0.848955399
CHR1	1682224	1687363	AT1G05630	1683759	1687363	299	0.845424113	3.345622015
CHR1	1687436	1689955	AT1G05640	1687436	1688842	300	0.91020055	1.757062006
CHR1	1697541	1701065	AT1G05670	1698367	1700343	301	0.526673343	1.030146599
CHR1	1706736	1709360	AT1G05690	1708290	1708343	302	2.357612014	2.607687998
CHR1	1709673	1713474	AT1G05700	1710065	1710117	303	3.183087087	3.66025207
CHR1	1709673	1713474	AT1G05700	1711212	1711239	304	3.232294011	3.232294011
CHR1	1709673	1713474	AT1G05700	1711849	1712748	305	12.37480171	37.98304253
CHR1	1717389	1718909	AT1G05720	1717720	1718174	306	0.462075959	0.784339797
CHR1	1717730	1718089	AT1G04413	1717720	1718174	307	0.462075959	0.784339797
CHR1	1720593	1721309	AT1G05740	1721058	1721143	308	2.33021698	2.532451987
CHR1	1721509	1724734	AT1G05750	1722239	1724049	309	1.562024693	2.67970202
CHR1	1723734	1724534	AT1G05760	1722239	1724049	310	1.562024693	2.67970202
CHR1	1726558	1728520	AT1G05780	1727001	1728290	311	1.275105631	3.129904032
CHR1	1732802	1737583	AT1G05790	1733860	1737309	312	0.503687641	1.780418217
CHR1	1749478	1754036	AT1G05820	1751149	1751242	313	1.054835061	1.086144388
CHR1	1749478	1754036	AT1G05820	1752169	1752829	314	1.72847023	2.10151403
CHR1	1754130	1761909	AT1G05830	1755365	1761439	315	0.354717943	1.227333003
CHR1	1762734	1766283	AT1G05840	1763299	1764592	316	0.342852568	0.625962797
CHR1	1766503	1768837	AT1G05850	1767331	1767400	317	2.418842021	2.888071227
CHR1	1775643	1778553	AT1G05880	1776918	1776967	318	3.061806917	3.192281914
CHR1	1779256	1784675	AT1G05890	1780483	1782961	319	0.310637742	0.490294993
CHR1	1784736	1786326	AT1G05894	1785037	1785654	320	1.717267839	2.218069983
CHR1	1786849	1789737	AT1G05900	1787647	1788997	321	0.515284393	1.352983773
CHR1	1790216	1796715	AT1G05910	1790849	1793513	322	0.574384418	1.567684031
CHR1	1790216	1796715	AT1G05910	1794595	1796245	323	0.638684123	1.410644782
CHR1	1801110	1804000	AT1G05940	1802488	1802999	324	1.123159243	2.030600023
CHR1	1804401	1807670	AT1G05950	1804962	1806211	325	1.897449144	2.414153981
CHR1	1807960	1815568	AT1G05960	1808443	1813599	326	0.564637357	2.833910012
CHR1	1815825	1817336	AT1G05970	1816371	1816425	327	3.374607038	3.893606091
CHR1	1828340	1829983	AT1G06040	1828756	1828813	328	0.942567816	1.002213418
CHR1	1834829	1837758	AT1G06070	1835265	1836941	329	0.566376156	1.304748821
CHR1	1846701	1849693	AT1G06090	1846833	1847057	330	1.036737543	1.666912425
CHR1	1846701	1849693	AT1G06090	1847989	1848049	331	3.382851028	4.068822026
CHR1	1853059	1855378	AT1G06110	1853765	1853879	332	2.249249645	2.392655969
CHR1	1855910	1857718	AT1G06120	1857183	1857207	333	10.2296041	10.2296041
CHR1	1857757	1860938	AT1G06130	1858055	1858190	334	2.223226674	2.442156005
CHR1	1857757	1860938	AT1G06130	1858637	1859017	335	0.517260307	0.708913594
CHR1	1864774	1866999	AT1G06140	1865509	1866359	336	1.45626321	2.411256003
CHR1	1867037	1868905	AT1G06143	1867635	1867878	337	6.435179734	8.323044062
CHR1	1868989	1873730	AT1G06150	1869656	1871914	338	0.694400822	2.461041975
CHR1	1884981	1886904	AT1G06170	1886023	1886264	339	2.937734008	3.301393986
CHR1	1897129	1899237	AT1G06210	1898137	1898987	340	0.780034715	1.506014574
CHR1	1899951	1904897	AT1G06220	1901054	1903030	341	0.381465161	0.977691799
CHR1	1899951	1904897	AT1G06220	1903834	1903984	342	0.367689546	0.382779795
CHR1	1899951	1904897	AT1G06220	1904151	1904193	343	0.424176198	0.424176198
CHR1	1906963	1911056	AT1G06230	1908311	1909779	344	0.348889202	0.703583992
CHR1	1911095	1913295	AT1G06240	1911998	1914365	345	1.624223819	3.64068799
CHR1	1913175	1914895	AT1G06250	1911998	1914365	346	1.624223819	3.64068799
CHR1	1917991	1919760	AT1G06270	1918765	1918860	347	3.077432311	3.452421379
CHR1	1922208	1926278	AT1G06290	1924349	1924756	348	0.319338836	0.375541198
