segment_no	gene_ID	chromosome	gene_start	gene_end	start	end	mean_h2az	max_h2az
205	AT1G05720	1	1717389	1718909	1717581	1718152	0.473701923	0.939418018
206	AT1G05730	1	1718555	1720587	1719873	1719950	0.589000002	0.730657995
207	AT1G05750	1	1721509	1724734	1723352	1724100	0.874909929	1.620630026
208	AT1G05760	1	1723734	1724534	1723782	1724100	0.873187431	1.620630026
209	AT1G05780	1	1726558	1728520	1727352	1728247	0.766282888	1.217759967
210	AT1G05783	1	1728658	1729789	1728733	1729000	0.448930499	1.304749966
211	AT1G05785	1	1730242	1732657	1731090	1732195	0.518612994	0.978559971
212	AT1G05790	1	1732802	1737583	1733787	1737397	0.521757771	2.713870049
213	AT1G05820	1	1749478	1754036	1750852	1751750	1.141154668	1.913630009
214	AT1G05830	1	1754130	1761909	1755052	1761592	0.366246476	2.261559963
215	AT1G05840	1	1762734	1766283	1762758	1765250	0.50370251	3.653290033
216	AT1G05860	1	1768986	1771286	1770202	1771236	0.496430763	1.043799996
217	AT1G05890	1	1779256	1784675	1780402	1784137	0.314120114	1.043799996
218	AT1G05900	1	1786849	1789737	1787671	1789454	0.535376318	1.043799996
219	AT1G05910	1	1790216	1796715	1791102	1796473	0.482736527	2.684050083
220	AT1G05940	1	1801110	1804000	1801402	1803150	0.658410259	3.235769987
221	AT1G05960	1	1807960	1815568	1808652	1814707	0.463212496	6.262790203
222	AT1G06060	1	1832941	1834861	1833755	1834521	0.486199681	1.043799996
223	AT1G06070	1	1834829	1837758	1835140	1836850	0.545449387	1.565700054
224	AT1G06090	1	1846701	1849693	1846902	1847250	0.792109147	1.913630009
225	AT1G06130	1	1857757	1860938	1858502	1859751	0.590830794	1.217759967
226	AT1G06150	1	1868989	1873730	1869252	1872650	0.66111695	4.070809841
227	AT1G06190	1	1892231	1894194	1892702	1893486	1.144129742	1.826650023
228	AT1G06200	1	1894289	1897027	1895020	1895798	0.385989557	0.596455991
229	AT1G06210	1	1897129	1899237	1897852	1898866	0.763619088	2.191979885
230	AT1G06220	1	1899951	1904897	1900649	1904500	0.437210127	2.087599993
231	AT1G06230	1	1906963	1911056	1908177	1910345	0.38973699	1.435220003
232	AT1G06260	1	1916430	1917585	1916464	1917540	1.042055899	3.548909903
233	AT1G06270	1	1917991	1919760	1918068	1918700	0.689575216	1.192909956
234	AT1G06290	1	1922208	1926278	1923802	1925700	0.349990167	1.043799996
235	AT1G06330	1	1931229	1932429	1931812	1931881	0.866796494	0.871702015
236	AT1G06390	1	1946746	1950860	1948033	1950100	0.473176115	1.304749966
237	AT1G06400	1	1950596	1952880	1951122	1951823	0.838925529	2.087599993
238	AT1G06410	1	1954674	1958866	1955426	1958231	0.516309054	1.714810014
239	AT1G06460	1	1967087	1969656	1967568	1968800	0.583399538	1.565700054
240	AT1G06470	1	1969658	1974526	1970577	1973393	0.326961712	0.782848001
241	AT1G06500	1	1989479	1990730	1990252	1990729	0.587729503	1.565700054
242	AT1G06515	1	1990634	1992228	1990648	1991450	0.460725116	0.806571007
243	AT1G06510	1	1992229	1993841	1993152	1993336	0.394530743	0.521898985
244	AT1G06520	1	1993903	1996355	1994652	1994950	0.62372083	1.118350029
245	AT1G06550	1	2003627	2007212	2004178	2006350	0.54939445	1.565700054
246	AT1G06560	1	2007615	2012006	2008602	2011300	0.600615385	1.722270012
247	AT1G06570	1	2011885	2013545	2011952	2012200	0.677875602	0.965512991
248	AT1G06580	1	2013996	2016273	2014402	2015450	0.679110999	1.284669995
249	AT1G06590	1	2016306	2024749	2016539	2023900	0.429534214	2.348550081
250	AT1G06630	1	2027606	2031388	2028702	2029100	0.69723749	1.491140008
251	AT1G06670	1	2040410	2047655	2041139	2047312	0.544266376	3.305360079
252	AT1G06700	1	2052370	2055548	2053002	2054181	0.764313087	2.174580097
253	AT1G06710	1	2055745	2060429	2056502	2059536	0.521946653	1.971619964
254	AT1G06720	1	2060444	2067483	2061452	2066650	0.447466607	1.913630009
255	AT1G06730	1	2067509	2070455	2068513	2069600	1.035026088	7.306580067
256	AT1G06770	1	2078880	2082097	2079357	2080950	0.75376925	1.696169972
257	AT1G06780	1	2083311	2087141	2084252	2086450	0.651291466	3.653290033
258	AT1G06790	1	2087182	2089786	2087930	2089344	0.66781424	1.435220003
259	AT1G06820	1	2092946	2096784	2093521	2095500	0.51198072	2.261559963
260	AT1G06840	1	2097747	2103507	2098252	2102244	0.401119564	2.870440006
261	AT1G06890	1	2111323	2114686	2112002	2113750	0.47654431	2.087599993
262	AT1G06900	1	2114765	2120745	2115502	2119896	0.710446294	3.653290033
263	AT1G06910	1	2120991	2123801	2121974	2123650	0.554709	1.565700054
264	AT1G06950	1	2130053	2135703	2130543	2134718	0.513868544	2.324820042
265	AT1G06960	1	2135810	2137838	2136702	2137250	0.905220368	1.826650023
266	AT1G07025	1	2157658	2158158	2157932	2158139	0.153326102	0.250077009
267	AT1G07030	1	2158413	2160818	2158648	2159563	0.410862996	0.626278996
268	AT1G07040	1	2160919	2163387	2161502	2162050	0.533832908	0.695864975
269	AT1G07080	1	2169977	2172194	2171377	2171500	0.964620332	1.023720026
270	AT1G07110	1	2178022	2184193	2178515	2183340	0.434652681	3.131390095
271	AT1G07120	1	2184759	2186627	2185202	2186544	0.625161039	2.022360086
272	AT1G07140	1	2191679	2193836	2192209	2192540	0.773922861	1.405110002
273	AT1G07200	1	2208477	2212718	2208602	2210150	0.651386808	1.739660025
274	AT1G07220	1	2216925	2219649	2217152	2217800	0.685446839	1.304749966
275	AT1G07290	1	2242012	2244992	2242902	2243757	0.363827267	0.626278996
276	AT1G07350	1	2257384	2260187	2257774	2259324	0.42045012	1.304749966
277	AT1G07360	1	2260317	2262923	2260549	2262200	0.599909531	2.982280016
278	AT1G07380	1	2264634	2269121	2264939	2268161	0.799230374	5.218989849
279	AT1G07390	1	2269622	2274901	2271302	2273900	1.198744735	6.915160179
280	AT1G07420	1	2277555	2280502	2279014	2279509	0.833674914	1.761409998
281	AT1G07470	1	2291369	2294558	2292330	2294250	0.673536026	4.958040237
282	AT1G07480	1	2296023	2299544	2296027	2298608	0.797630814	5.566919804
283	AT1G07510	1	2304435	2312399	2306302	2309950	0.497775026	2.400729895
284	AT1G07520	1	2309534	2312385	2309557	2309950	0.674125619	0.939418018
285	AT1G07530	1	2313581	2316507	2314052	2315526	1.06311743	6.001840115
286	AT1G07560	1	2327315	2331148	2330341	2331145	0.851375249	2.000610113
287	AT1G07590	1	2336477	2339391	2337002	2337350	0.731334422	1.043799996
288	AT1G07615	1	2342198	2344314	2342602	2342750	0.93547833	1.037580013
289	AT1G07630	1	2348915	2351799	2350702	2351378	0.864239995	1.739660025
290	AT1G07650	1	2359111	2366736	2359598	2363597	0.630290247	2.087599993
291	AT1G07670	1	2370020	2374607	2370336	2373250	0.516181566	2.696480036
292	AT1G07705	1	2381555	2386157	2382302	2386144	0.421819099	3.131390095
293	AT1G07710	1	2386164	2388350	2386183	2387550	0.342979547	2.296360016
294	AT1G07725	1	2394801	2397272	2396852	2397052	0.54044919	0.888858974
295	AT1G07740	1	2397442	2400508	2397565	2399550	0.652429969	1.391729951
296	AT1G07730	1	2397527	2398696	2397565	2398655	0.364300522	1.391729951
297	AT1G07745	1	2400589	2402942	2401252	2401787	0.981063821	3.131390095
298	AT1G07810	1	2416178	2420829	2417002	2420450	0.743266747	4.697090149
299	AT1G07840	1	2424045	2426728	2424860	2426272	0.495642965	1.217759967
300	AT1G07870	1	2428773	2432091	2430044	2430674	1.035707267	3.392339945
301	AT1G07910	1	2445437	2454645	2447052	2454353	0.336461129	1.304749966
302	AT1G07930	1	2458184	2460817	2459352	2460150	0.531859209	2.087599993
303	AT1G07960	1	2467145	2469316	2467907	2469317	0.355603282	0.782848001
304	AT1G07970	1	2469218	2472806	2469294	2471800	0.95018802	3.757669926
305	AT1G07980	1	2473165	2475128	2473702	2473901	1.187318727	2.609489918
306	AT1G07990	1	2476953	2483196	2478000	2482851	0.453172755	4.070809841
307	AT1G08000	1	2483240	2485726	2483506	2483750	0.468178809	0.901462018
308	AT1G08010	1	2485848	2488085	2485955	2486938	0.339366351	1.461320043
309	AT1G08030	1	2489409	2493327	2489952	2492447	0.588626861	1.565700054
310	AT1G08040	1	2495309	2498764	2495652	2497700	0.428973131	1.304749966
311	AT1G08050	1	2498794	2501581	2500102	2500300	0.420975506	0.572202027
312	AT1G08060	1	2501704	2511084	2502102	2510150	0.537812363	7.306580067
313	AT1G08070	1	2514150	2516620	2514423	2515700	1.050516932	2.000610113
314	AT1G08110	1	2535251	2537932	2536242	2537550	0.593070481	1.217759967
315	AT1G08125	1	2539614	2542362	2539823	2541650	0.718373251	4.846199989
316	AT1G08130	1	2542663	2547946	2543102	2546750	0.480914349	1.217759967
317	AT1G08190	1	2567420	2573448	2568352	2573125	0.358047373	1.87883997
318	AT1G08200	1	2573818	2576844	2574502	2575489	0.872997303	2.696480036
319	AT1G08210	1	2576984	2580754	2577602	2579342	0.661395114	1.826650023
320	AT1G08220	1	2581022	2583390	2581552	2582650	0.845395902	2.783459902
321	AT1G08260	1	2588854	2606892	2591602	2606100	0.544843995	3.305360079
322	AT1G08270	1	2606269	2607507	2606352	2606600	1.082568991	1.412199974
323	AT1G08310	1	2618647	2620452	2620052	2620150	1.110900491	1.513509989
324	AT1G08340	1	2630891	2632871	2632552	2632666	0.911110679	1.072270036
325	AT1G08350	1	2632810	2635866	2632931	2635000	0.393037283	0.913322985
326	AT1G08360	1	2635939	2638004	2636702	2637156	0.537196392	1.304749966
327	AT1G08370	1	2638037	2640663	2639128	2640390	0.250629506	0.869831026
328	AT1G08400	1	2643019	2646048	2643430	2645100	0.658312176	2.400729895
329	AT1G08410	1	2646144	2649440	2647002	2648968	0.571827175	3.235769987
330	AT1G08420	1	2649459	2657120	2650864	2656677	0.379328682	2.261559963
331	AT1G08450	1	2667798	2671957	2668157	2671050	0.385752479	1.565700054
332	AT1G08460	1	2672198	2674721	2673202	2674250	0.528875052	1.159780025
333	AT1G08480	1	2684176	2685702	2685502	2685661	0.652373992	1.043799996
334	AT1G08490	1	2685659	2688658	2685660	2687735	0.717066742	4.001220226
335	AT1G08510	1	2691062	2694547	2691631	2693168	0.736556589	3.392339945
336	AT1G08520	1	2696381	2701022	2697732	2700584	0.601478998	2.656939983
337	AT1G08540	1	2703295	2706860	2704113	2706498	0.887558805	2.824389935
338	AT1G08550	1	2706868	2709988	2707652	2709800	0.686627895	3.653290033
339	AT1G08560	1	2709525	2711000	2709526	2709800	0.780740008	1.565700054
340	AT1G08590	1	2718538	2722280	2719052	2720400	1.07698975	4.697090149
341	AT1G08600	1	2723677	2733613	2724573	2733604	0.273328994	1.565700054
342	AT1G08620	1	2736656	2743881	2737718	2743366	0.577371224	3.783770084
343	AT1G08640	1	2748361	2751620	2748710	2750322	0.439458603	0.854016006
344	AT1G08660	1	2756904	2759889	2757337	2758905	0.659193208	1.739660025
345	AT1G08680	1	2762584	2768967	2763576	2768397	0.406408535	2.435529947
346	AT1G08710	1	2771620	2773531	2772652	2773063	0.743143555	1.164240003
347	AT1G08720	1	2773941	2779308	2774859	2778700	0.311877857	1.913630009
348	AT1G08730	1	2779438	2788477	2784002	2784150	0.972761313	1.391729951
349	AT1G08750	1	2801042	2804711	2801840	2804360	0.452559435	2.087599993
350	AT1G08760	1	2805044	2808623	2806028	2807800	0.47957521	1.67753005
351	AT1G08800	1	2812818	2818071	2813778	2816986	0.459931486	3.131390095
352	AT1G08820	1	2821354	2825481	2822052	2824189	0.411920488	1.435220003
353	AT1G08830	1	2827060	2829315	2828065	2829063	0.729258731	2.21807003
354	AT1G08840	1	2829105	2838855	2829597	2837500	1.1891975	7.741499901
355	AT1G08845	1	2838789	2841134	2839895	2840500	0.671734771	1.192909956
356	AT1G08910	1	2856162	2861170	2857252	2860600	0.707479057	2.296360016
357	AT1G08920	1	2867203	2870745	2868764	2868941	0.730037004	0.869831026
358	AT1G08970	1	2882491	2884342	2883211	2883909	0.552575129	1.491140008
359	AT1G09010	1	2895166	2899446	2895167	2898350	0.675659672	6.784689903
360	AT1G09040	1	2911250	2915406	2912702	2915000	0.555786821	1.109040022
361	AT1G09050	1	2916968	2921111	2918023	2921048	0.719467054	4.088210106
362	AT1G09060	1	2921064	2925826	2921178	2925000	0.508053496	3.131390095
363	AT1G09080	1	2929217	2931850	2930202	2930300	1.041522473	1.282799959
364	AT1G09100	1	2936528	2939363	2936680	2938453	0.668629021	2.609489918
365	AT1G09130	1	2939568	2942345	2939814	2941450	0.977553875	6.001840115
366	AT1G09140	1	2942538	2945976	2942853	2945390	0.383635508	1.369979978
367	AT1G09150	1	2946030	2949159	2947262	2948650	0.800837323	2.957429886
368	AT1G09160	1	2952597	2955745	2953243	2954800	0.563279475	2.460380077
369	AT1G09170	1	2956261	2962546	2958852	2959050	0.788186505	1.148180008
